time unit: s, ADC_OF1, CS_ADC, MOSI, MISO, ADC_D1[13..0],-4682.275256,402.2006231,MAX,min,
157,0,1,1,1,-4887, ,,,,
158,0,1,1,1,-4889, ,,,,
159,0,1,1,1,-4892, ,,,,
160,0,1,1,1,-4896, ,,,,
161,0,1,1,1,-4900, ,,,,
162,0,1,1,1,-4900, ,,,,
163,0,1,1,1,-4903, ,,,,
164,0,1,1,1,-4903, ,,,,
165,0,1,1,1,-4901, ,,,,
166,0,1,1,1,-4903, ,,,,
167,0,1,1,1,-4905, ,,,,
168,0,1,1,1,-4908, ,,,,
169,0,1,1,1,-4908, ,,,,
170,0,1,1,1,-4911, ,,,,
171,0,1,1,1,-4914, ,,,,
172,0,1,1,1,-4915, ,,,,
173,0,1,1,1,-4914, ,,,,
174,0,1,1,1,-4916, ,,,,
175,0,1,1,1,-4918, ,,,,
176,0,1,1,1,-4922, ,,,,
177,0,1,1,1,-4924, ,,,,
178,0,1,1,1,-4925, ,,,,
179,0,1,1,1,-4929, ,,,,
180,0,1,1,1,-4926, ,,,,
181,0,1,1,1,-4929, ,,,,
182,0,1,1,1,-4932, ,,,,
183,0,1,1,1,-4937, ,,,,
184,0,1,1,1,-4941, ,,,,
185,0,1,1,1,-4941, ,,,,
186,0,1,1,1,-4943, ,,,,
187,0,1,1,1,-4938, ,,,,
188,0,1,1,1,-4938, ,,,,
189,0,1,1,1,-4937, ,,,,
190,0,1,1,1,-4936, ,,,,
191,0,1,1,1,-4939, ,,,,
192,0,1,1,1,-4939, ,,,,
193,0,1,1,1,-4940, ,,,,
194,0,1,1,1,-4939, ,,,,
195,0,1,1,1,-4937, ,,,,
196,0,1,1,1,-4937, ,,,,
197,0,1,1,1,-4932, ,,,,
198,0,1,1,1,-4928, ,,,,
199,0,1,1,1,-4928, ,,,,
200,0,1,1,1,-4927, ,,,,
201,0,1,1,1,-4926, ,,,,
202,0,1,1,1,-4925, ,,,,
203,0,1,1,1,-4929, ,,,,
204,0,1,1,1,-4928, ,,,,
205,0,1,1,1,-4926, ,,,,
206,0,1,1,1,-4923, ,,,,
207,0,1,1,1,-4924, ,,,,
208,0,1,1,1,-4918, ,,,,
209,0,1,1,1,-4921, ,,,,
210,0,1,1,1,-4921, ,,,,
211,0,1,1,1,-4924, ,,,,
212,0,1,1,1,-4921, ,,,,
213,0,1,1,1,-4901, ,,,,
214,0,1,1,1,-4782, ,,,,
215,0,1,1,1,-4542, ,,,,
216,0,1,1,1,-4244, ,,,,
217,0,1,1,1,-3957, ,,,,
218,0,1,1,1,-3735, ,,,,
219,0,1,1,1,-3599, ,,,,
220,0,1,1,1,-3539, ,,,,
221,0,1,1,1,-3532, ,,,,
222,0,1,1,1,-3561, ,,,,
223,0,1,1,1,-3612, ,,,,
224,0,1,1,1,-3684, ,,,,
225,0,1,1,1,-3765, ,,,,
226,0,1,1,1,-3851, ,,,,
227,0,1,1,1,-3937, ,,,,
228,0,1,1,1,-4017, ,,,,
229,0,1,1,1,-4095, ,,,,
230,0,1,1,1,-4171, ,,,,
231,0,1,1,1,-4236, ,,,,
232,0,1,1,1,-4305, ,,,,
233,0,1,1,1,-4365, ,,,,
234,0,1,1,1,-4417, ,,,,
235,0,1,1,1,-4465, ,,,,
236,0,1,1,1,-4508, ,,,,
237,0,1,1,1,-4550, ,,,,
238,0,1,1,1,-4583, ,,,,
239,0,1,1,1,-4614, ,,,,
240,0,1,1,1,-4647, ,,,,
241,0,1,1,1,-4675, ,,,,
242,0,1,1,1,-4700, ,,,,
243,0,1,1,1,-4722, ,,,,
244,0,1,1,1,-4741, ,,,,
245,0,1,1,1,-4756, ,,,,
246,0,1,1,1,-4774, ,,,,
247,0,1,1,1,-4788, ,,,,
248,0,1,1,1,-4805, ,,,,
249,0,1,1,1,-4819, ,,,,
250,0,1,1,1,-4831, ,,,,
251,0,1,1,1,-4843, ,,,,
252,0,1,1,1,-4849, ,,,,
253,0,1,1,1,-4851, ,,,,
254,0,1,1,1,-4856, ,,,,
255,0,1,1,1,-4861, ,,,,
256,0,1,1,1,-4864, ,,,,
257,0,1,1,1,-4873, ,,,,
258,0,1,1,1,-4881, ,,,,
259,0,1,1,1,-4890, ,,,,
260,0,1,1,1,-4892, ,,,,
261,0,1,1,1,-4896, ,,,,
262,0,1,1,1,-4901, ,,,,
263,0,1,1,1,-4901, ,,,,
264,0,1,1,1,-4903, ,,,,
265,0,1,1,1,-4905, ,,,,
266,0,1,1,1,-4908, ,,,,
267,0,1,1,1,-4912, ,,,,
268,0,1,1,1,-4917, ,,,,
269,0,1,1,1,-4918, ,,,,
270,0,1,1,1,-4918, ,,,,
271,0,1,1,1,-4918, ,,,,
272,0,1,1,1,-4924, ,,,,
273,0,1,1,1,-4925, ,,,,
274,0,1,1,1,-4930, ,,,,
275,0,1,1,1,-4931, ,,,,
276,0,1,1,1,-4932, ,,,,
