time unit: s, ADC_OF1, CS_ADC, MOSI, MISO, ADC_D1[13..0],-4688.309419,1.334237443,,,,,,,,,,,,, 
105,0,1,1,1,-4686,,,,,,,,,,,,,,, 
106,0,1,1,1,-4686,,,,,,,,,,,,,,, 
107,0,1,1,1,-4686,,,,,,,,,,,,,,, 
108,0,1,1,1,-4689,,,,,,,,,,,,,,, 
109,0,1,1,1,-4690,,,,,,,,,,,,,,, 
110,0,1,1,1,-4688,,,,,,,,,,,,,,, 
111,0,1,1,1,-4689,,,,,,,,,,,,,,, 
112,0,1,1,1,-4688,,,,,,,,,,,,,,, 
113,0,1,1,1,-4685,,,,,,,,,,,,,,, 
114,0,1,1,1,-4687,,,,,,,,,,,,,,, 
115,0,1,1,1,-4688,,,,,,,,,,,,,,, 
116,0,1,1,1,-4688,,,,,,,,,,,,,,, 
117,0,1,1,1,-4687,,,,,,,,,,,,,,, 
118,0,1,1,1,-4689,,,,,,,,,,,,,,, 
119,0,1,1,1,-4687,,,,,,,,,,,,,,, 
120,0,1,1,1,-4689,,,,,,,,,,,,,,, 
121,0,1,1,1,-4689,,,,,,,,,,,,,,, 
122,0,1,1,1,-4687,,,,,,,,,,,,,,, 
123,0,1,1,1,-4688,,,,,,,,,,,,,,, 
124,0,1,1,1,-4687,,,,,,,,,,,,,,, 
125,0,1,1,1,-4690,,,,,,,,,,,,,,, 
126,0,1,1,1,-4689,,,,,,,,,,,,,,, 
127,0,1,1,1,-4688,,,,,,,,,,,,,,, 
128,0,1,1,1,-4688,,,,,,,,,,,,,,, 
129,0,1,1,1,-4689,,,,,,,,,,,,,,, 
130,0,1,1,1,-4690,,,,,,,,,,,,,,, 
131,0,1,1,1,-4690,,,,,,,,,,,,,,, 
132,0,1,1,1,-4686,,,,,,,,,,,,,,, 
133,0,1,1,1,-4686,,,,,,,,,,,,,,, 
134,0,1,1,1,-4688,,,,,,,,,,,,,,, 
135,0,1,1,1,-4687,,,,,,,,,,,,,,, 
136,0,1,1,1,-4688,,,,,,,,,,,,,,, 
137,0,1,1,1,-4690,,,,,,,,,,,,,,, 
138,0,1,1,1,-4689,,,,,,,,,,,,,,, 
139,0,1,1,1,-4688,,,,,,,,,,,,,,, 
140,0,1,1,1,-4688,,,,,,,,,,,,,,, 
141,0,1,1,1,-4688,,,,,,,,,,,,,,, 
142,0,1,1,1,-4690,,,,,,,,,,,,,,, 
143,0,1,1,1,-4688,,,,,,,,,,,,,,, 
144,0,1,1,1,-4689,,,,,,,,,,,,,,, 
145,0,1,1,1,-4689,,,,,,,,,,,,,,, 
146,0,1,1,1,-4689,,,,,,,,,,,,,,, 
147,0,1,1,1,-4688,,,,,,,,,,,,,,, 
148,0,1,1,1,-4688,,,,,,,,,,,,,,, 
149,0,1,1,1,-4690,,,,,,,,,,,,,,, 
150,0,1,1,1,-4690,,,,,,,,,,,,,,, 
151,0,1,1,1,-4689,,,,,,,,,,,,,,, 
152,0,1,1,1,-4688,,,,,,,,,,,,,,, 
153,0,1,1,1,-4688,,,,,,,,,,,,,,, 
154,0,1,1,1,-4687,,,,,,,,,,,,,,, 
155,0,1,1,1,-4688,,,,,,,,,,,,,,, 
156,0,1,1,1,-4689,,,,,,,,,,,,,,, 
157,0,1,1,1,-4689,,,,,,,,,,,,,,, 
