Groups:
ADC_3[13..0] =, ADC_3[13], ADC_3[12], ADC_3[11], ADC_3[10], ADC_3[9], ADC_3[8], ADC_3[7], ADC_3[6], ADC_3[5], ADC_3[4], ADC_3[3], ADC_3[2], ADC_3[1], ADC_3[0],  signed decimal
reg_adc3_sync[13..0] =, reg_adc3_sync[13], reg_adc3_sync[12], reg_adc3_sync[11], reg_adc3_sync[10], reg_adc3_sync[9], reg_adc3_sync[8], reg_adc3_sync[7], reg_adc3_sync[6], reg_adc3_sync[5], reg_adc3_sync[4], reg_adc3_sync[3], reg_adc3_sync[2], reg_adc3_sync[1], reg_adc3_sync[0],  signed decimal

Data:
time unit: s, ADC_3[13..0], ADC_3[13], ADC_3[12], ADC_3[11], ADC_3[10], ADC_3[9], ADC_3[8], ADC_3[7], ADC_3[6], ADC_3[5], ADC_3[4], ADC_3[3], ADC_3[2], ADC_3[1], ADC_3[0], reg_adc3_sync[13..0], reg_adc3_sync[13], reg_adc3_sync[12], reg_adc3_sync[11], reg_adc3_sync[10], reg_adc3_sync[9], reg_adc3_sync[8], reg_adc3_sync[7], reg_adc3_sync[6], reg_adc3_sync[5], reg_adc3_sync[4], reg_adc3_sync[3], reg_adc3_sync[2], reg_adc3_sync[1], reg_adc3_sync[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
27, 96, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
28, 249, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 89, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 
29, 238, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 89, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 
30, 241, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 89, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 
31, 243, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 88, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
32, 215, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 88, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
33, 135, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 88, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
34, 103, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 88, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
35, 166, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 88, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
36, 177, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 88, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
37, 175, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 88, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
38, 177, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 88, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
39, 167, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 88, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
40, 132, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
41, 93, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 89, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 
42, 233, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 89, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 
43, 232, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
44, 231, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 91, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 
45, 234, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 91, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 
46, 204, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 
47, 147, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 92, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 
48, 97, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 92, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 
49, 256, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 
50, 246, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 92, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 
51, 245, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 92, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 
52, 244, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 
53, 211, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 91, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 
54, 123, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 90, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
55, 93, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 90, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
56, 217, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 90, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
57, 214, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 89, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 
58, 214, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 89, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 
59, 216, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 
60, 186, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 90, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
61, 127, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 90, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
62, 98, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 91, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 
63, 226, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 91, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 
64, 178, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 92, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 
65, 229, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 93, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 
66, 231, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 94, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 
67, 193, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 95, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 
68, 126, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 96, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 
69, 101, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 96, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 
70, 182, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 97, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
71, 193, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 97, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
72, 205, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 97, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
73, 205, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 97, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
74, 182, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 96, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 
75, 120, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 
76, 94, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 95, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 
77, 190, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 94, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 
78, 205, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 94, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 
79, 204, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 
80, 205, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 93, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 
81, 191, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 92, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 
82, 129, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 91, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 
83, 93, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 91, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 
84, 205, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 90, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
85, 221, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 90, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
86, 219, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 89, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 
87, 221, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 89, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 
